# SCAN started at: 2019-02-13 13:08:14
# Elen_Scan Mass: 146 Resolution: 100
# ----------------------------------------
# 
0.62	1273	1163	1287	1370
0.63	1096	916.7	1207	1163
0.64	884.4	776.7	870	1007
0.65	765.6	696.7	773.3	826.7
0.66	707.8	613.3	763.3	746.7
0.67	587.8	496.7	620	646.7
0.68	515.6	523.3	520	503.3
0.69	424.4	376.7	403.3	493.3
0.7	334.4	300	296.7	406.7
0.71	351.1	380	286.7	386.7
0.72	217.8	190	246.7	216.7
0.73	246.7	210	276.7	253.3
0.74	191.1	203.3	186.7	183.3
0.75	173.3	193.3	160	166.7
0.76	158.9	123.3	173.3	180
0.77	100	90	76.67	133.3
0.78	100	83.33	96.67	120
0.79	108.9	123.3	110	93.33
0.8	87.78	66.67	100	96.67
0.81	83.33	73.33	86.67	90
0.82	61.11	63.33	56.67	63.33
0.83	50	56.67	50	43.33
0.84	50	40	40	70
0.85	51.11	26.67	43.33	83.33
0.86	35.56	40	26.67	40
0.87	33.33	40	26.67	33.33
0.88	33.33	20	40	40
0.89	38.89	56.67	26.67	33.33
0.9	25.56	23.33	33.33	20
0.91	22.22	20	16.67	30
0.92	25.56	20	23.33	33.33
0.93	31.11	10	46.67	36.67
0.94	24.44	23.33	33.33	16.67
0.95	40	50	46.67	23.33
0.96	27.78	26.67	20	36.67
0.97	30	26.67	36.67	26.67
0.98	21.11	23.33	10	30
0.99	26.67	20	26.67	33.33
1	20	20	16.67	23.33
1.01	22.22	16.67	20	30
1.02	17.78	13.33	10	30
1.03	18.89	26.67	13.33	16.67
1.04	27.78	30	13.33	40
1.05	24.44	16.67	36.67	20
1.06	13.33	16.67	13.33	10
1.07	28.89	33.33	26.67	26.67
1.08	18.89	20	23.33	13.33
1.09	13.33	10	16.67	13.33
1.1	17.78	10	16.67	26.67
1.11	17.78	13.33	20	20
1.12	12.22	6.667	6.667	23.33
1.13	12.22	10	10	16.67
1.14	22.22	26.67	13.33	26.67
1.15	22.22	13.33	20	33.33
1.16	21.11	16.67	26.67	20
1.17	8.889	16.67	10	0
1.18	12.22	13.33	16.67	6.667
1.19	16.67	23.33	20	6.667
1.2	17.78	13.33	20	20
1.21	10	13.33	6.667	10
1.22	12.22	16.67	6.667	13.33
1.23	13.33	16.67	20	3.333
1.24	13.33	16.67	13.33	10
1.25	13.33	13.33	16.67	10
1.26	15.56	23.33	6.667	16.67
1.27	8.889	6.667	10	10
1.28	14.44	13.33	20	10
1.29	17.78	20	23.33	10
1.3	11.11	6.667	6.667	20
1.31	17.78	10	13.33	30
1.32	8.889	13.33	6.667	6.667
1.33	14.44	20	16.67	6.667
1.34	13.33	26.67	0	13.33
1.35	12.22	10	16.67	10
1.36	10	6.667	13.33	10
1.37	8.889	6.667	13.33	6.667
1.38	7.778	10	6.667	6.667
1.39	20	10	26.67	23.33
1.4	14.44	16.67	6.667	20
1.41	3.333	6.667	3.333	0
1.42	8.889	6.667	13.33	6.667
1.43	17.78	30	6.667	16.67
1.44	17.78	33.33	13.33	6.667
1.45	11.11	10	20	3.333
1.46	8.889	6.667	10	10
1.47	10	13.33	10	6.667
1.48	6.667	3.333	3.333	13.33
1.49	14.44	23.33	13.33	6.667
1.5	12.22	13.33	16.67	6.667
1.51	7.778	13.33	10	0
1.52	5.556	10	0	6.667
1.53	5.556	3.333	6.667	6.667
1.54	8.889	10	6.667	10
1.55	12.22	13.33	10	13.33
1.56	12.22	10	16.67	10
1.57	10	23.33	3.333	3.333
