# Energy shift = 1.04
# a_1: -0.106 +- 0.034, a_0: 0.0 +- 1.4, domain: [12.100000000000001eV ,14.469999999999999eV]
# Y-offset = 0.0+-0.0052, AE = 16.0652+-2.8673, Scale Factor = 0.0496+-0.2407, Alpha = 1.4778+-4.572
# Y-offset = 0.0049+-0.0159, AE = 18.8183+-0.5533, Scale Factor = 0.1198+-0.1117, Alpha = 1.581+-0.7823
# Y-offset = 0.0+-0.0174, AE = 21.6965+-0.2306, Scale Factor = 0.3766+-0.1127, Alpha = 1.2489+-0.1986
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2(incl. prev.)	Fit 3(incl. prev.)	Fit 4(incl. prev.)
25.090000	12.980000	0.739457	13.159774	0.130741	3.339053	8.817384	13.159774
25.160000	13.840000	0.912767	13.406254	0.131400	3.376546	8.951750	13.406254
25.240000	13.310000	0.755737	13.689567	0.132154	3.419561	9.106242	13.689567
25.310000	13.460000	0.758079	13.938872	0.132814	3.457343	9.242231	13.938872
25.390000	14.820000	0.905912	14.225383	0.133568	3.500688	9.398567	14.225383
25.460000	14.320000	0.905194	14.477460	0.134228	3.538759	9.536163	14.477460
25.540000	13.950000	0.789351	14.767111	0.134981	3.582431	9.694328	14.767111
25.610000	15.740000	0.957666	15.022691	0.135641	3.620787	9.834297	15.022691
25.690000	15.200000	0.911592	15.315422	0.136395	3.664784	9.994269	15.315422
25.760000	16.100000	0.928816	15.572894	0.137055	3.703423	10.135032	15.572894
25.840000	16.290000	0.801161	15.868657	0.137809	3.747743	10.296799	15.868657
25.910000	15.850000	0.891670	16.128760	0.138468	3.786662	10.439126	16.128760
25.990000	16.870000	1.034955	16.427507	0.139222	3.831301	10.602673	16.427507
26.060000	16.690000	0.999869	16.690200	0.139882	3.870499	10.746550	16.690200
26.140000	17.630000	1.027585	16.991882	0.140636	3.915455	10.911861	16.991882
26.210000	17.110000	0.997486	17.257124	0.141296	3.954929	11.057275	17.257124
26.290000	16.570000	1.020809	17.561698	0.142050	4.000200	11.224335	17.561698
26.360000	17.380000	1.014769	17.829452	0.142709	4.039948	11.371274	17.829452
26.440000	17.910000	1.020107	18.136875	0.143463	4.085531	11.540069	18.136875
26.510000	17.740000	1.020453	18.407103	0.144123	4.125551	11.688518	18.407103
26.590000	18.790000	1.136512	18.717335	0.144877	4.171443	11.859034	18.717335
26.660000	18.690000	1.034669	18.990004	0.145537	4.211734	12.008983	18.990004
26.740000	19.390000	1.056210	19.303005	0.146291	4.257934	12.181205	19.303005
26.810000	20.100000	1.237942	19.578081	0.146950	4.298492	12.332642	19.578081
26.890000	19.650000	1.124044	19.893815	0.147704	4.344997	12.506558	19.893815
26.960000	20.480000	1.148519	20.171267	0.148364	4.385822	12.659471	20.171267
27.040000	20.460000	1.221100	20.489698	0.149118	4.432630	12.835067	20.489698
27.110000	20.890000	1.184559	20.769494	0.149778	4.473719	12.989445	20.769494
27.190000	21.360000	1.234141	21.090589	0.150532	4.520827	13.166708	21.090589
27.260000	20.150000	1.150945	21.372701	0.151191	4.562179	13.322540	21.372701
