# Energy shift = 0.0
# Y-offset = 0.0006+-0.0022 AE = 8.993+-0.0878 Scale Factor = 0.3018+-0.0481 Alpha = 1.4523+-0.2115
# Y-offset = 0.0+-0.0713 AE = 12.5456+-0.0522 Scale Factor = 6.7934+-0.5653 Alpha = 1.3998+-0.1094
# -------------------------------------------------------------
Energy	Counts	Errors	Combined Fit	Fit 1	Fit 2
12.140000	4.720000	0.565006	4.002044	4.001909	0.000136
12.170000	4.000000	0.480000	4.057706	4.057383	0.000323
12.200000	3.800000	0.487442	4.113828	4.113095	0.000733
12.230000	4.520000	0.631975	4.170629	4.169044	0.001586
12.260000	3.360000	0.428728	4.228504	4.225228	0.003277
12.290000	5.400000	0.660303	4.288115	4.281645	0.006470
12.320000	4.640000	0.555525	4.350517	4.338296	0.012221
12.350000	4.480000	0.535343	4.417281	4.395178	0.022103
12.380000	4.320000	0.700537	4.490616	4.452291	0.038325
12.410000	5.200000	0.722219	4.573427	4.509634	0.063793
12.440000	4.920000	0.566279	4.669293	4.567205	0.102088
12.470000	5.080000	0.560600	4.782321	4.625003	0.157318
12.500000	4.440000	0.552203	4.916883	4.683027	0.233856
12.530000	5.240000	0.673831	5.077252	4.741276	0.335976
12.560000	5.400000	0.588558	5.267204	4.799750	0.467455
12.590000	4.960000	0.467299	5.489652	4.858446	0.631206
12.620000	5.880000	0.575250	5.746396	4.917365	0.829031
12.650000	6.000000	0.582409	6.038028	4.976504	1.061524
12.680000	6.040000	0.519969	6.364011	5.035863	1.328147
12.710000	6.720000	0.587224	6.722886	5.095442	1.627444
12.740000	8.400000	0.724431	7.112567	5.155238	1.957329
12.770000	9.000000	1.188276	7.530649	5.215252	2.315397
12.800000	9.720000	1.098377	7.974667	5.275482	2.699185
12.830000	9.320000	0.897303	8.442299	5.335927	3.106372
12.860000	9.240000	0.866976	8.931472	5.396586	3.534886
12.890000	8.680000	0.701108	9.440410	5.457458	3.982951
12.920000	8.960000	0.804468	9.967626	5.518543	4.449083
12.950000	8.600000	0.720555	10.511890	5.579840	4.932050
12.980000	10.000000	0.769415	11.072180	5.641347	5.430833
13.010000	10.960000	0.938492	11.647645	5.703064	5.944580
13.040000	13.320000	0.875644	12.237559	5.764990	6.472569
13.070000	14.840000	1.091187	12.841300	5.827124	7.014175
13.100000	14.160000	1.260908	13.458320	5.889466	7.568854
13.130000	18.520000	3.828654	14.088135	5.952014	8.136122
13.160000	20.560000	3.052626	14.730310	6.014767	8.715543
13.190000	17.600000	2.396664	15.384451	6.077725	9.306726
