# SCAN started at: 2019-02-14 08:14:09
# Mass_Scan Elen: _70
# ----------------------------------------
# XGS2: >1.220E-07,1.800E-08,OPEN     ,4.344E+00,OPEN     ,OPEN
# 2019-02-14 08:38:14
# 
26.1	245	245
26.2	305	305
26.3	276	276
26.4	274	274
26.5	330	330
26.6	362	362
26.7	407	407
26.8	460	460
26.9	415	415
27	428	428
27.1	401	401
27.2	463	463
27.3	479	479
27.4	460	460
27.5	439	439
27.6	416	416
27.7	495	495
27.8	482	482
27.9	477	477
28	430	430
28.1	458	458
28.2	414	414
28.3	440	440
28.4	392	392
28.5	469	469
28.6	433	433
28.7	394	394
28.8	389	389
28.9	376	376
29	335	335
29.1	286	286
29.2	243	243
29.3	189	189
29.4	113	113
29.5	131	131
29.6	128	128
29.7	151	151
29.8	143	143
29.9	165	165
30	140	140
30.1	156	156
30.2	146	146
30.3	151	151
30.4	121	121
30.5	168	168
30.6	100	100
30.7	116	116
30.8	119	119
30.9	111	111
31	118	118
31.1	94	94
31.2	93	93
31.3	78	78
31.4	62	62
31.5	83	83
31.6	85	85
31.7	77	77
31.8	75	75
31.9	63	63
32	52	52
32.1	72	72
32.2	64	64
32.3	58	58
32.4	62	62
32.5	42	42
32.6	62	62
32.7	56	56
32.8	56	56
32.9	29	29
33	28	28
33.1	23	23
33.2	27	27
33.3	13	13
33.4	1	1
33.5	1	1
33.6	1	1
33.7	4	4
33.8	2	2
33.9	3	3
34	4	4
34.1	3	3
34.2	2	2
34.3	2	2
34.4	0	0
34.5	4	4
34.6	2	2
34.7	0	0
34.8	3	3
34.9	1	1
35	6	6
35.1	3	3
35.2	7	7
35.3	12	12
35.4	3	3
35.5	4	4
35.6	2	2
35.7	5	5
35.8	8	8
35.9	7	7
36	9	9
36.1	14	14
36.2	10	10
36.3	8	8
36.4	14	14
36.5	11	11
36.6	24	24
36.7	31	31
36.8	16	16
36.9	33	33
37	33	33
37.1	37	37
37.2	58	58
37.3	50	50
37.4	50	50
37.5	52	52
37.6	78	78
37.7	115	115
37.8	105	105
37.9	155	155
38	166	166
38.1	176	176
38.2	206	206
38.3	211	211
38.4	255	255
38.5	279	279
38.6	357	357
38.7	305	305
38.8	328	328
38.9	312	312
39	319	319
39.1	313	313
39.2	318	318
39.3	349	349
39.4	382	382
39.5	385	385
39.6	360	360
39.7	329	329
39.8	289	289
39.9	356	356
40	326	326
40.1	335	335
40.2	327	327
40.3	283	283
40.4	292	292
40.5	262	262
40.6	302	302
40.7	254	254
40.8	317	317
40.9	235	235
41	177	177
41.1	186	186
41.2	154	154
41.3	106	106
41.4	70	70
41.5	65	65
41.6	66	66
41.7	80	80
41.8	89	89
41.9	104	104
42	62	62
42.1	76	76
42.2	56	56
42.3	86	86
42.4	72	72
42.5	64	64
42.6	70	70
42.7	62	62
42.8	59	59
42.9	88	88
43	55	55
43.1	77	77
43.2	80	80
43.3	107	107
43.4	78	78
43.5	104	104
43.6	67	67
43.7	72	72
43.8	74	74
43.9	89	89
44	73	73
44.1	74	74
44.2	72	72
44.3	54	54
44.4	61	61
44.5	65	65
44.6	59	59
44.7	61	61
44.8	57	57
44.9	46	46
45	45	45
45.1	35	35
45.2	28	28
45.3	27	27
45.4	29	29
45.5	10	10
45.6	18	18
45.7	18	18
45.8	10	10
45.9	13	13
46	16	16
46.1	11	11
46.2	8	8
46.3	11	11
46.4	20	20
46.5	14	14
46.6	18	18
46.7	12	12
46.8	11	11
46.9	10	10
47	8	8
47.1	6	6
47.2	1	1
47.3	1	1
47.4	0	0
47.5	0	0
47.6	1	1
47.7	6	6
47.8	0	0
47.9	0	0
48	0	0
48.1	0	0
48.2	2	2
48.3	1	1
48.4	0	0
48.5	1	1
48.6	2	2
48.7	2	2
48.8	0	0
48.9	0	0
49	2	2
49.1	3	3
49.2	4	4
49.3	0	0
49.4	4	4
49.5	0	0
49.6	0	0
49.7	2	2
49.8	4	4
49.9	1	1
50	2	2
50.1	1	1
50.2	0	0
50.3	5	5
50.4	2	2
50.5	4	4
50.6	11	11
50.7	4	4
50.8	11	11
50.9	9	9
51	5	5
51.1	9	9
51.2	1	1
51.3	3	3
51.4	5	5
51.5	8	8
51.6	17	17
51.7	10	10
51.8	15	15
51.9	12	12
52	13	13
52.1	12	12
52.2	15	15
52.3	17	17
52.4	14	14
52.5	16	16
52.6	7	7
52.7	8	8
52.8	19	19
